#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   5900      5.19e-01    5.32e-01      1.89e-03    1.85e-03      3.23e-02    3.31e-02    2.6e-04
   6000      5.10e-01    4.98e-01      3.31e-03    3.29e-03      3.20e-02    3.12e-02    2.5e-04
   6100      5.12e-01    4.93e-01      2.20e-03    2.17e-03      3.25e-02    3.13e-02    2.5e-04
   6200      5.19e-01    5.29e-01      4.65e-03    4.64e-03      3.31e-02    3.37e-02    2.4e-04
   6300      5.07e-01    5.43e-01      4.30e-03    4.23e-03      3.27e-02    3.51e-02    2.3e-04
   6400      4.66e-01    4.99e-01      1.11e-03    1.17e-03      3.07e-02    3.29e-02    2.3e-04
   6500      4.71e-01    4.90e-01      2.36e-03    2.35e-03      3.13e-02    3.26e-02    2.2e-04
   6600      5.08e-01    5.14e-01      5.70e-03    5.74e-03      3.36e-02    3.40e-02    2.2e-04
   6700      4.57e-01    4.58e-01      2.68e-03    2.74e-03      3.10e-02    3.11e-02    2.1e-04
   6800      4.87e-01    4.59e-01      3.07e-03    3.08e-03      3.34e-02    3.15e-02    2.1e-04
   6900      4.74e-01    4.38e-01      4.32e-03    4.32e-03      3.27e-02    3.01e-02    2.0e-04
   7000      4.32e-01    4.52e-01      2.12e-03    2.13e-03      3.04e-02    3.18e-02    2.0e-04
   7100      4.44e-01    4.48e-01      1.02e-03    1.07e-03      3.17e-02    3.20e-02    1.9e-04
   7200      4.16e-01    4.38e-01      1.97e-03    1.95e-03      3.00e-02    3.16e-02    1.9e-04
   7300      4.61e-01    4.81e-01      7.21e-03    7.19e-03      3.24e-02    3.39e-02    1.9e-04
   7400      4.42e-01    4.46e-01      2.06e-03    2.13e-03      3.25e-02    3.29e-02    1.8e-04
   7500      4.10e-01    4.43e-01      4.02e-03    4.04e-03      3.02e-02    3.27e-02    1.8e-04
   7600      4.37e-01    4.39e-01      2.39e-03    2.42e-03      3.29e-02    3.30e-02    1.7e-04
   7700      4.40e-01    4.31e-01      2.56e-03    2.64e-03      3.35e-02    3.28e-02    1.7e-04
   7800      4.22e-01    4.13e-01      1.96e-03    2.04e-03      3.26e-02    3.19e-02    1.7e-04
   7900      4.00e-01    3.95e-01      2.73e-03    2.68e-03      3.11e-02    3.07e-02    1.6e-04
   8000      3.70e-01    4.25e-01      2.45e-03    2.51e-03      2.91e-02    3.35e-02    1.6e-04
   8100      4.03e-01    4.15e-01      8.04e-04    8.62e-04      3.23e-02    3.32e-02    1.5e-04
   8200      3.64e-01    3.96e-01      1.21e-03    1.20e-03      2.95e-02    3.21e-02    1.5e-04
   8300      3.62e-01    3.82e-01      6.51e-04    5.91e-04      2.96e-02    3.13e-02    1.5e-04
   8400      3.53e-01    3.74e-01      7.86e-04    8.25e-04      2.93e-02    3.10e-02    1.4e-04
   8500      3.89e-01    3.82e-01      2.56e-03    2.58e-03      3.24e-02    3.18e-02    1.4e-04
   8600      3.44e-01    3.75e-01      2.55e-03    2.59e-03      2.89e-02    3.16e-02    1.4e-04
   8700      3.84e-01    3.96e-01      1.18e-03    1.17e-03      3.29e-02    3.39e-02    1.3e-04
   8800      3.61e-01    3.73e-01      2.20e-03    2.11e-03      3.12e-02    3.22e-02    1.3e-04
   8900      3.57e-01    3.35e-01      8.12e-04    8.05e-04      3.13e-02    2.94e-02    1.3e-04
   9000      3.55e-01    3.62e-01      1.83e-03    1.87e-03      3.14e-02    3.20e-02    1.3e-04
   9100      3.28e-01    3.72e-01      1.10e-03    1.12e-03      2.94e-02    3.34e-02    1.2e-04
   9200      3.34e-01    3.54e-01      1.28e-03    1.30e-03      3.02e-02    3.21e-02    1.2e-04
   9300      3.45e-01    3.21e-01      1.21e-03    1.19e-03      3.17e-02    2.95e-02    1.2e-04
   9400      3.41e-01    3.55e-01      6.47e-04    6.49e-04      3.17e-02    3.30e-02    1.1e-04
   9500      3.40e-01    3.48e-01      9.71e-04    1.01e-03      3.19e-02    3.27e-02    1.1e-04
   9600      3.22e-01    3.37e-01      1.20e-03    1.20e-03      3.05e-02    3.20e-02    1.1e-04
   9700      3.11e-01    3.16e-01      2.02e-03    2.08e-03      2.97e-02    3.02e-02    1.1e-04
   9800      3.40e-01    3.06e-01      2.74e-03    2.73e-03      3.27e-02    2.94e-02    1.0e-04
   9900      3.26e-01    3.07e-01      2.17e-03    2.20e-03      3.18e-02    2.99e-02    1.0e-04
